name	chrom	pos
P000001	1	3252007
P000002	1	3714033
P000003	1	4083031
P000004	1	4214828
P000005	1	4309034
P000006	1	4821297
P000007	1	5424667
P000008	1	5718185
P000009	1	6144417
P000010	1	6254460
P000011	1	6569286
P000012	1	7019816
P000013	1	7422551
P000014	1	7581184
P000015	1	7863293
P000016	1	8056354
P000017	1	8129507
P000018	1	8284657
P000019	1	8445142
P000020	1	8670296
P000021	1	9062952
P000022	1	9200714
P000023	1	9281716
P000024	1	9559042
P000025	1	9852699
P000026	1	10365286
P000027	1	10563523
P000028	1	10617034
P000029	1	10636695
P000030	1	10650509
P000031	1	10825799
P000032	1	11449745
P000033	1	11862778
P000034	1	12831481
P000035	1	13804489
P000036	1	13855758
P000037	1	14028633
P000038	1	14196212
P000039	1	14764638
P000040	1	15006363
P000041	1	15253724
P000042	1	15463980
P000043	1	15528334
P000044	1	16413265
P000045	1	16436771
P000046	1	16454380
P000047	1	16510522
P000048	1	17394775
P000049	1	17661805
P000050	1	17833145
P000051	1	18233159
P000052	1	18243980
P000053	1	18387572
P000054	1	18464298
P000055	1	18691614
P000056	1	18755346
P000057	1	18855560
P000058	1	19396736
P000059	1	19421596
P000060	1	19499054
P000061	1	19932600
P000062	1	20060365
P000063	1	20151431
P000064	1	20184538
P000065	1	20561584
P000066	1	21362727
P000067	1	21646510
P000068	1	21790721
P000069	1	21880141
P000070	1	22603889
P000071	1	23199726
P000072	1	23453239
P000073	1	23498024
P000074	1	23529203
P000075	1	23545787
P000076	1	23756155
P000077	1	23756287
P000078	1	23785178
P000079	1	23813075
P000080	1	23907434
P000081	1	23915669
P000082	1	24373887
P000083	1	24917543
P000084	1	25768937
P000085	1	25991527
P000086	1	26278308
P000087	1	26355640
P000088	1	26410147
P000089	1	26433267
P000090	1	27408134
P000091	1	27704890
P000092	1	27711044
P000093	1	28090960
P000094	1	28305886
P000095	1	28311187
P000096	1	28365073
P000097	1	28712545
P000098	1	29007668
P000099	1	29747649
P000100	1	29795985
P000101	1	30131330
P000102	1	30384611
P000103	1	30569052
P000104	1	30619205
P000105	1	30930479
P000106	1	31024709
P000107	1	31322886
P000108	1	31332492
P000109	1	31341006
P000110	1	31981543
P000111	1	32136398
P000112	1	32213655
P000113	1	32223365
P000114	1	32256086
P000115	1	32266026
P000116	1	32371097
P000117	1	32545184
P000118	1	33065873
P000119	1	33280648
P000120	1	33898566
P000121	1	34181830
P000122	1	34715899
P000123	1	34722632
P000124	1	34852005
P000125	1	34888152
P000126	1	35461836
P000127	1	35742548
P000128	1	35742791
P000129	1	35793371
P000130	1	35845505
P000131	1	36411977
P000132	1	36722788
P000133	1	36777235
P000134	1	37507366
P000135	1	37770623
P000136	1	38023390
P000137	1	38596776
P000138	1	38685557
P000139	1	38880715
P000140	1	39141676
P000141	1	39718037
P000142	1	39885977
P000143	1	39989251
P000144	1	40408280
P000145	1	40496677
P000146	1	40612199
P000147	1	40612369
P000148	1	40636579
P000149	1	40837481
P000150	1	41293664
P000151	1	41338665
P000152	1	41490885
P000153	1	41766097
P000154	1	41850182
P000155	1	42074930
P000156	1	42119844
P000157	1	42209089
P000158	1	42465769
P000159	1	43758912
P000160	1	43925768
P000161	1	44034135
P000162	1	44149793
P000163	1	44637390
P000164	1	44737490
P000165	1	44772093
P000166	1	44778873
P000167	1	44887860
P000168	1	45064759
P000169	1	45175051
